Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
Pompei ,14.492,40.749,I.22,19 (PALHIP0168),,,3.7,,,,,,,,,,,,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,--,U,--,--,--,1,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,20 (PALHIP0169),,,3.3,,,,,,,,,,,,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,21 (PALHIP0170),,,3.3,,,,,,,,,,,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,,,,,
Pompei ,,,IX.I.3,1,--,--,3.6,,180,cal/est,--,--,--,--,67,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - flour,Bakery,,
Pompei ,,,IX.I.3,2,--,--,3.1,,200,cal/est,--,--,--,--,73,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - flour,Bakery,,
Pompei ,,,IX.I.3,3,56,33,--,,320,calculated,--,75,--,--,80,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,Y,Distribution,D - flour,Bakery,,
Pompei ,,,IX.I.3,4,67,44,--,,290,calculated,--,75,--,--,76,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - flour,Bakery,,
Pompei ,,,IX.I.3,5,43,30,3.1,,120,calculated,--,63,--,--,55,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - flour,Bakery,,
Pompei ,,,IX.I.3,6,44,29,--,,120,calculated,--,63,--,--,55,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,Y,--,Distribution,D - flour,Bakery,,
Pompei ,,,I.VIII.8,1,46,31,--,,120,calculated,--,--,73,--,--,45,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,2,45,32,--,,120,calculated,--,--,74,--,--,46,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,3,48,34,--,,120,calculated,--,--,74,--,--,46,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,4,49,34,--,,140,calculated,--,--,75,--,--,48,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,5,46,32,--,,96,calculated,--,--,73,--,--,41,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,6,48,41,--,,130,calculated,--,--,73,--,--,47,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,7,--,--,1.9,,78,calculated,--,--,--,49,--,43,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,8,--,--,1.9,,80,calculated,--,--,--,50,--,43,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,9,66,44,--,,340,calculated,--,--,--,82,--,73,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,10,57,34,--,,340,calculated,--,87,--,--,--,71,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,11,63,42,--,,290,calculated,--,--,--,91,--,64,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,Y,--,,,Y,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,12,47,32,--,,--,--,--,--,63,--,--,75,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.VIII.8,13,53,37,--,,--,--,--,--,--,78,--,86,--,,spherical,Y,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,Y,--,,,Y,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.IX.4,1,53,34,--,,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.IX.4,2,48,30,--,,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.IX.4,3,48,31,--,,--,--,--,--,--,--,--,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.IX.4,4,49,30,--,,--,--,--,--,--,--,--,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.XIII.13,1,--,--,1.8,,--,--,--,--,--,--,--,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
